01002	2110.76	11
01003	19669.41	64
01008	418.11	1
01027	127.26	1
01041	242.84	1
01056	124.76	1
01062	660.98	5
01063	3795.27	7
01253	693.83	1
01267	842.91	5
01400	799.6	1
01475	13.41	1
01602	58.01	2
01605	515.19	6
01606	2204.84	2
01609	1714.68	7
01634	193.36	1
01773	183.97	3
01778	1436.85	7
01843	15.39	1
01867	3448.83	8
01923	392.64	1
01945	140.56	2
01970	936.38	1
01983	216.74	4
02000	501.53	2
02010	473.69	3
02037	1875.19	2
02048	16.41	1
02054	35.74	1
02066	70.12	2
02076	3424.4	1
02093	308.11	3
02114	119.42	1
02115	2105.07	4
02116	2151.4	8
02118	189.95	2
02128	35.54	1
02130	236.46	1
02138	19118.04	45
02139	4140.7	33
02140	721.81	4
02141	80.68	1
02142	337	6
02143	87.02	3
02144	110.86	2
02151	857.38	1
02155	64.28	1
02163	588.46	1
02169	558.13	5
02202	2576.76	11
02215	999.18	10
02360	1725.29	5
02370	268.75	1
02445	358.04	3
02451	0	1
02460	107.72	2
02461	79.68	1
02467	150.8	2
02472	479.95	3
02474	20.53	1
02476	20.18	1
02478	203.53	2
02481	63.12	1
02492	277.48	7
02553	35.99	1
02660	405.6	1
02740	16	1
02840	911.04	1
02852	211.43	8
02860	11124.48	11
02903	7390.08	22
02906	152	1
02908	646.03	3
02912	283.44	4
02916	182.07	1
03020	34.65	1
03031	161.4	5
03051	95.95	1
03052	90.78	1
03079	47.26	2
03086	275.83	2
03087	1000	1
03101	596.22	2
03104	79.96	1
03216	234.67	1
03234	55.54	2
03264	119.55	1
03360	275.89	1
03458	364.44	3
03741	1231.74	1
03755	2478.44	21
03768	20.26	1
03826	498.91	3
03908	2151.52	5
03909	180.6	2
04009	187.6	1
04038	54.69	1
04068	1936.86	1
04072	4193.73	1
04100	96.96	1
04105	242.42	2
04350	26.68	2
04469	3059.74	8
04627	251.19	2
04730	5214.72	5
04879	4120.96	2
04885	443.44	1
05001	591.81	2
05023	123	1
05055	947.77	14
05072	191.08	1
05089	306.49	2
05230	2441.93	4
05301	458.49	4
05401	2024.39	13
05403	279.61	2
05405	1971	10
05445	1318.33	3
05446	2724.29	8
05452	94.58	2
05454	127.94	2
05464	311.64	1
05477	2104.28	26
05478	1376.8	5
05489	127.94	2
05494	575.2	11
05609	960	2
05655	3046.97	1
05663	800.31	4
05674	221.12	4
05701	67.94	1
05753	1055.63	2
05757	47.98	1
05827	615.6	4
05850	1026.69	1
06039	546.75	3
06250	154.18	1
06269	466.87	5
06357	128.02	1
06470	965.99	12
06510	159.24	3
06511	13642.88	54
06776	159.28	1
06798	1234.65	13
06830	292.61	2
06877	1146.49	1
06880	4436.4	6
06890	244.4	2
06903	57.34	1
07022	789.27	1
07030	5188	10
07039	171.3	4
07050	1184.05	1
07102	1376.01	10
07103	263.16	2
07461	148.4	2
07470	221.41	1
07505	1624.43	2
07601	33.25	1
07656	540.3	4
07719	1053.73	2
07728	1024.13	6
07738	277.9	1
07753	1108.63	2
07800	79.35	1
07853	1871.73	3
07860	90.69	1
07921	501.52	2
07924	37.22	1
07945	1804.56	11
07950	131.92	1
08003	146.4	1
08028	1587.56	9
08034	719.17	1
08107	179.8	1
08108	30.1	1
08270	576.14	2
08304	212.15	1
08310	411.32	1
08361	170.76	3
08401	286.97	3
